spotify_id,popularity,danceability,energy,acousticness,instrumentalness,liveness,speechiness,tempo,valence,mode,key,album_release_date,release_year,release_month,release_day,release_recency,first_snapshot_date,last_snapshot_date,days_on_spotify,popularity_class
2sYa8IysQXY2F1NiLTqj2Y,61,0.635,0.459,0.637,0.0,0.319,0.0298,119.901,0.375,1.0,1.0,2005-11-11,2005,11,11,6949,2023-12-03,2023-12-26,23,1
2sa9m8OLLjWGBS96w8kR2d,52,0.683,0.6849999999999999,0.016,1.23e-06,0.221,0.0374,140.007,0.35,0.0,5.0,2023-10-26,2023,10,26,391,2023-10-29,2023-11-04,6,1
2sbjPQE3sS9H6i8BOmtZbr,64,0.611,0.818,0.046000000000000006,1.26e-06,0.0968,0.0403,144.985,0.605,1.0,10.0,2022-12-25,2022,12,25,696,2023-10-30,2024-06-23,237,1
2sbvNhKsY8OUEwlbZb7hXV,68,0.68,0.7760000000000001,0.09499999999999999,0.00112,0.157,0.0897,144.038,0.696,0.0,6.0,2023-04-20,2023,4,20,580,2023-10-18,2024-05-18,213,1
2scGvk5RyDMqCU9VtP4a59,0,0.367,0.859,0.0197,0.0,0.108,0.174,142.096,0.395,0.0,1.0,2023-12-01,2023,12,1,355,2023-12-03,2023-12-03,0,0
2sfL5PDP2uid2zbDYOLaPv,60,0.799,0.759,0.0728,0.00931,0.151,0.176,135.969,0.582,0.0,6.0,2024-06-07,2024,6,7,166,2024-06-08,2024-10-31,145,1
2sfzzzMtqw04ZnJMD6ZJfL,41,0.779,0.55,0.0124,0.0,0.0778,0.0642,120.083,0.826,1.0,2.0,2024-10-18,2024,10,18,33,2024-10-20,2024-10-20,0,0
2sghtIUWplVFKBRIHsVmFu,57,0.776,0.632,0.517,8.84e-06,0.0668,0.0991,118.109,0.969,0.0,1.0,2024-03-22,2024,3,22,243,2024-03-23,2024-03-23,0,1
2sj4rMabpUWzy6xATdkM0u,56,0.596,0.717,0.23900000000000002,0.0,0.273,0.36900000000000005,149.60999999999999,0.422,0.0,11.0,2023-10-16,2023,10,16,401,2023-10-22,2023-10-28,6,1
2sj5vf9ss7eUxSIVUp50EW,77,0.8460000000000001,0.55,0.039,0.0,0.064,0.163,125.97199999999998,0.639,0.0,9.0,2023-12-15,2023,12,15,341,2023-12-17,2024-02-03,48,2
2ss1LK5Kfnjo5EUaCbsgZM,79,0.783,0.834,0.539,0.00021200000000000003,0.0903,0.029,139.995,0.92,0.0,3.0,2024-08-23,2024,8,23,89,2024-10-19,2024-10-31,12,2
2stWwxi8C6L1TESgCw9ANY,70,0.687,0.709,0.462,0.0,0.12,0.145,77.991,0.584,0.0,1.0,2024-01-26,2024,1,26,299,2024-01-28,2024-03-16,48,1
2suOcQBfljDdURx1xHyWpa,57,0.8390000000000001,0.746,0.125,2.1e-06,0.11200000000000002,0.0438,140.02,0.765,1.0,1.0,2024-09-20,2024,9,20,61,2024-09-22,2024-10-31,39,1
2t0LrmYXjzK0ZeVlTcXjvN,58,0.89,0.878,0.231,0.0,0.203,0.07489999999999998,120.05,0.929,0.0,11.0,2024-03-19,2024,3,19,246,2024-04-10,2024-07-31,112,1
2t33vDAERvsbqTLQuphuwA,57,0.579,0.648,0.0492,0.0,0.412,0.0487,139.985,0.637,1.0,6.0,2023-03-24,2023,3,24,607,2024-05-02,2024-05-05,3,1
2t4H61OtTYgmDe61KxkjKH,68,0.7939999999999999,0.533,0.14,2.76e-05,0.207,0.0591,120.011,0.15,1.0,9.0,2024-09-20,2024,9,20,61,2024-09-22,2024-09-22,0,1
2t5ppyEAESjrGvwJhygLZ9,56,0.761,0.6789999999999999,0.129,0.0,0.0582,0.0345,133.023,0.8809999999999999,1.0,8.0,2024-02-08,2024,2,8,286,2024-02-11,2024-02-16,5,1
2t5zRm6bgu4TRvmELiEsDV,68,0.629,0.605,0.0805,3.61e-05,0.181,0.0437,149.994,0.376,0.0,2.0,2024-10-10,2024,10,10,41,2024-10-13,2024-10-25,12,1
2t94yri9mLOx0730njdqzP,26,0.578,0.828,0.917,4.5e-06,0.461,0.604,153.811,0.97,1.0,1.0,2024-09-13,2024,9,13,68,2024-09-14,2024-09-14,0,0
2tA3NP12r4niSRhb9Y6AoY,68,0.7007170868347339,0.755672268907563,0.5452408963585434,0.0,0.11700000000000002,0.02908263305322129,102.97787114845939,0.5244117647058824,1.0,0.0,2022-11-15,2022,11,15,736,2023-10-18,2024-10-11,359,1
2tADvI8RnFhYln3GVvqGds,69,0.677,0.666,0.086,0.00194,0.379,0.043,89.994,0.264,1.0,9.0,2024-03-15,2024,3,15,250,2024-03-16,2024-03-28,12,1
2tFcqyXXBUdtPIrGk19juw,54,0.782,0.8189999999999998,0.041,0.0,0.112,0.0406,110.013,0.489,1.0,6.0,2024-06-21,2024,6,21,152,2024-06-25,2024-07-12,17,1
2tHwzyyOLoWSFqYNjeVMzj,87,0.675,0.586,0.257,0.0,0.104,0.053099999999999994,107.01499999999999,0.621,1.0,9.0,2024-08-23,2024,8,23,89,2024-09-05,2024-10-31,56,2
2tJulUYLDKOg9XrtVkMgcJ,78,0.704,0.558,0.148,0.0,0.10700000000000001,0.054200000000000005,110.444,0.24500000000000002,0.0,2.0,2010-05-11,2010,5,11,5307,2024-04-02,2024-09-09,160,2
2tNizYPgEjcOkhBVdNL7js,57,0.859,0.93,0.214,0.0867,0.193,0.0714,120.066,0.338,0.0,10.0,2023-11-10,2023,11,10,376,2023-11-16,2023-11-19,3,1
2tSOz2c3qqs8jOdlyMvHww,64,0.774,0.61,0.221,0.0,0.11,0.038,105.003,0.655,1.0,4.0,2019-09-13,2019,9,13,1895,2024-09-09,2024-10-31,52,1
2tSetGL4BpKgKK7BVAbhGf,49,0.556,0.661,0.24500000000000002,0.0,0.06,0.10400000000000001,117.93300000000002,0.9040000000000001,0.0,4.0,2022-09-23,2022,9,23,789,2024-09-21,2024-09-30,9,1
2tSqulqhLGnC6efT6TNnuj,62,0.6529999999999999,0.574,0.477,0.0,0.207,0.282,131.973,0.368,0.0,6.0,2024-05-09,2024,5,9,195,2024-05-11,2024-05-17,6,1
2tT8SYE7NnNDKbBsHWPIDY,77,0.703,0.7,0.105,0.0,0.105,0.0763,123.059,0.637,0.0,11.0,2024-07-11,2024,7,11,132,2024-07-24,2024-10-31,99,2
